timestamp,AF17,AF23,AF24,AF30,AF34,attack
106,1.0,1.0,1.0,1.0,1.0,0
107,1.0,1.0,1.0,1.0,1.0,0
108,1.0,1.0,1.0,1.0,1.0,0
109,1.0,1.0,1.0,1.0,1.0,0.0
110,1.0,1.0,1.0,1.0,1.0,0.0
111,1.0,1.0,1.0,1.0,1.0,0.0
112,1.0,1.0,1.0,1.0,1.0,0
113,1.0,1.0,1.0,1.0,1.0,0
114,1.0,1.0,1.0,1.0,1.0,0
115,1.0,1.0,1.0,1.0,1.0,0.0
116,1.0,1.0,1.0,1.0,1.0,0
117,1.0,1.0,1.0,1.0,1.0,0
118,1.0,1.0,1.0,1.0,1.0,0
119,1.0,1.0,1.0,1.0,1.0,0
120,1.0,1.0,1.0,1.0,1.0,0.0
121,1.0,1.0,1.0,1.0,1.0,0
122,1.0,1.0,1.0,1.0,1.0,0.0
123,1.0,1.0,1.0,1.0,1.0,0
124,1.0,1.0,1.0,1.0,1.0,0
125,1.0,1.0,1.0,1.0,1.0,0.0
126,1.0,1.0,1.0,1.0,1.0,0
127,1.0,1.0,1.0,1.0,1.0,0
128,1.0,1.0,1.0,1.0,1.0,0
129,1.0,1.0,1.0,1.0,1.0,0
130,1.0,1.0,1.0,1.0,1.0,0
131,1.0,1.0,1.0,1.0,1.0,0
132,1.0,1.0,1.0,1.0,1.0,0
133,1.0,1.0,1.0,1.0,1.0,0.0
134,1.0,1.0,1.0,1.0,1.0,0.0
135,1.0,1.0,1.0,1.0,1.0,0
136,1.0,1.0,1.0,1.0,1.0,0
137,1.0,1.0,1.0,1.0,1.0,0
138,1.0,1.0,1.0,1.0,1.0,0
139,1.0,1.0,1.0,1.0,1.0,0
140,1.0,1.0,1.0,1.0,1.0,0.0
141,1.0,1.0,1.0,1.0,1.0,0.0
142,1.0,1.0,1.0,1.0,1.0,0
143,1.0,1.0,1.0,1.0,1.0,0
144,1.0,1.0,1.0,1.0,1.0,0
145,1.0,1.0,1.0,1.0,1.0,0.0
146,1.0,1.0,1.0,1.0,1.0,0
147,1.0,1.0,1.0,1.0,1.0,0
148,1.0,1.0,1.0,1.0,1.0,0
149,1.0,1.0,1.0,1.0,1.0,0
150,1.0,1.0,1.0,1.0,1.0,0.0
151,1.0,1.0,1.0,1.0,1.0,0.0
152,1.0,1.0,1.0,1.0,1.0,0
153,1.0,1.0,1.0,1.0,1.0,0
154,1.0,1.0,1.0,1.0,1.0,0
155,1.0,1.0,1.0,1.0,1.0,0
156,1.0,1.0,1.0,1.0,1.0,0.0
157,1.0,1.0,1.0,1.0,1.0,0
158,1.0,1.0,1.0,1.0,1.0,0
159,1.0,1.0,1.0,1.0,1.0,0
160,1.0,1.0,1.0,1.0,1.0,0
161,1.0,1.0,1.0,1.0,1.0,0
162,1.0,1.0,1.0,1.0,1.0,0.0
163,1.0,1.0,1.0,1.0,1.0,0
164,1.0,1.0,1.0,1.0,1.0,0
165,1.0,1.0,1.0,1.0,1.0,0
166,1.0,1.0,1.0,1.0,1.0,0.0
167,1.0,1.0,1.0,1.0,1.0,0
168,1.0,1.0,1.0,1.0,1.0,0
169,1.0,1.0,1.0,1.0,1.0,0
170,1.0,1.0,1.0,1.0,1.0,0
171,1.0,1.0,1.0,1.0,1.0,0.0
172,1.0,1.0,1.0,1.0,1.0,0.0
173,1.0,1.0,1.0,1.0,1.0,0
174,1.0,1.0,1.0,1.0,1.0,0
175,1.0,1.0,1.0,1.0,1.0,0
176,1.0,1.0,1.0,1.0,1.0,0
177,1.0,1.0,1.0,1.0,1.0,0.0
178,1.0,1.0,1.0,1.0,1.0,0.0
179,1.0,1.0,1.0,1.0,1.0,0
180,1.0,1.0,1.0,1.0,1.0,0
181,1.0,1.0,1.0,1.0,1.0,0
182,1.0,1.0,1.0,1.0,1.0,0
183,1.0,1.0,1.0,1.0,1.0,0
184,1.0,1.0,1.0,1.0,1.0,0
185,1.0,1.0,1.0,1.0,1.0,0
186,1.0,1.0,1.0,1.0,1.0,0.0
187,1.0,1.0,1.0,1.0,1.0,0.0
188,1.0,1.0,1.0,1.0,1.0,0.0
189,1.0,1.0,1.0,1.0,1.0,0
190,1.0,1.0,1.0,1.0,1.0,0
191,1.0,1.0,1.0,1.0,1.0,0.0
192,1.0,1.0,1.0,1.0,1.0,0.0
193,1.0,1.0,1.0,1.0,1.0,0.0
194,1.0,1.0,1.0,1.0,1.0,0
195,1.0,1.0,1.0,1.0,1.0,0
196,1.0,1.0,1.0,1.0,1.0,0
197,1.0,1.0,1.0,1.0,1.0,0.0
198,1.0,1.0,1.0,1.0,1.0,0
199,1.0,1.0,1.0,1.0,1.0,0.0
200,1.0,1.0,1.0,1.0,1.0,0
201,1.0,1.0,1.0,1.0,1.0,0
202,1.0,1.0,1.0,1.0,1.0,0
203,1.0,1.0,1.0,1.0,1.0,0
204,1.0,1.0,1.0,1.0,1.0,0
205,1.0,1.0,1.0,1.0,1.0,0
206,1.0,1.0,1.0,1.0,1.0,0
207,1.0,1.0,1.0,1.0,1.0,0
208,1.0,1.0,1.0,1.0,1.0,0.0
209,1.0,1.0,1.0,1.0,1.0,0.0
210,1.0,1.0,1.0,1.0,1.0,0
211,1.0,1.0,1.0,1.0,1.0,0
212,1.0,1.0,1.0,1.0,1.0,0.0
213,1.0,1.0,1.0,1.0,1.0,0.0
214,1.0,1.0,1.0,1.0,1.0,0.0
215,1.0,1.0,1.0,1.0,1.0,0
216,1.0,1.0,1.0,1.0,1.0,0.0
217,1.0,1.0,1.0,1.0,1.0,0
218,1.0,1.0,1.0,1.0,1.0,0.0
219,1.0,1.0,1.0,1.0,1.0,0
220,1.0,1.0,1.0,1.0,1.0,0
221,1.0,1.0,1.0,1.0,1.0,0
222,1.0,1.0,1.0,1.0,1.0,0
223,1.0,1.0,1.0,1.0,1.0,0
224,1.0,1.0,1.0,1.0,1.0,0.0
225,1.0,1.0,1.0,1.0,1.0,0
226,1.0,1.0,1.0,1.0,1.0,0
227,1.0,1.0,1.0,1.0,1.0,0
228,1.0,1.0,1.0,1.0,1.0,0
229,1.0,1.0,1.0,1.0,1.0,0
230,1.0,1.0,1.0,1.0,1.0,0
231,1.0,1.0,1.0,1.0,1.0,0
232,1.0,1.0,1.0,1.0,1.0,0
233,1.0,1.0,1.0,1.0,1.0,0.0
234,1.0,1.0,1.0,1.0,1.0,0
235,1.0,1.0,1.0,1.0,1.0,0
236,1.0,1.0,1.0,1.0,1.0,0
237,1.0,1.0,1.0,1.0,1.0,0
238,1.0,1.0,1.0,1.0,1.0,0
239,1.0,1.0,1.0,1.0,1.0,0
240,1.0,1.0,1.0,1.0,1.0,0
241,1.0,1.0,1.0,1.0,1.0,0
242,1.0,1.0,1.0,1.0,1.0,0
243,1.0,1.0,1.0,1.0,1.0,0
244,1.0,1.0,1.0,1.0,1.0,0.0
245,1.0,1.0,1.0,1.0,1.0,0
246,1.0,1.0,1.0,1.0,1.0,0.0
247,1.0,1.0,1.0,1.0,1.0,0
248,1.0,1.0,1.0,1.0,1.0,0
249,1.0,1.0,1.0,1.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0
251,1.0,1.0,1.0,1.0,1.0,0.0
252,1.0,1.0,1.0,1.0,1.0,0
253,1.0,1.0,1.0,1.0,1.0,0
254,1.0,1.0,1.0,1.0,1.0,0
255,1.0,1.0,1.0,1.0,1.0,0.0
256,1.0,1.0,1.0,1.0,1.0,0
257,1.0,1.0,1.0,1.0,1.0,0.0
258,1.0,1.0,1.0,1.0,1.0,0.0
259,1.0,1.0,1.0,1.0,1.0,0
260,1.0,1.0,1.0,1.0,1.0,0.0
261,1.0,1.0,1.0,1.0,1.0,0.0
262,1.0,1.0,1.0,1.0,1.0,0
263,1.0,1.0,1.0,1.0,1.0,0
264,1.0,1.0,1.0,1.0,1.0,0
265,1.0,1.0,1.0,1.0,1.0,0
266,1.0,1.0,1.0,1.0,1.0,0
267,1.0,1.0,1.0,1.0,1.0,0
268,1.0,1.0,1.0,1.0,1.0,0.0
269,1.0,1.0,1.0,1.0,1.0,0
270,1.0,1.0,1.0,1.0,1.0,0
271,1.0,1.0,1.0,1.0,1.0,0
272,1.0,1.0,1.0,1.0,1.0,0
273,1.0,1.0,1.0,1.0,1.0,0.0
274,1.0,1.0,1.0,1.0,1.0,0.0
275,1.0,1.0,1.0,1.0,1.0,0.0
276,1.0,1.0,1.0,1.0,1.0,0.0
277,1.0,1.0,1.0,1.0,1.0,0.0
278,1.0,1.0,1.0,1.0,1.0,0
279,1.0,1.0,1.0,1.0,1.0,0.0
280,1.0,1.0,1.0,1.0,1.0,0
281,1.0,1.0,1.0,1.0,1.0,0
282,1.0,1.0,1.0,1.0,1.0,0
283,1.0,1.0,1.0,1.0,1.0,0.0
284,1.0,1.0,1.0,1.0,1.0,0.0
285,1.0,1.0,1.0,1.0,1.0,0
286,1.0,1.0,1.0,1.0,1.0,0
287,1.0,1.0,1.0,1.0,1.0,0
288,1.0,1.0,1.0,1.0,1.0,0
289,1.0,1.0,1.0,1.0,1.0,0
290,1.0,1.0,1.0,1.0,1.0,0
291,1.0,1.0,1.0,1.0,1.0,0
292,1.0,1.0,1.0,1.0,1.0,0.0
293,1.0,1.0,1.0,1.0,1.0,0
294,1.0,1.0,1.0,1.0,1.0,0
295,1.0,1.0,1.0,1.0,1.0,0
296,1.0,1.0,1.0,1.0,1.0,0.0
297,1.0,1.0,1.0,1.0,1.0,0.0
298,1.0,1.0,1.0,1.0,1.0,0.0
299,1.0,1.0,1.0,1.0,1.0,0
300,1.0,1.0,1.0,1.0,1.0,0
301,1.0,1.0,1.0,1.0,1.0,0
302,1.0,1.0,1.0,1.0,1.0,0.0
303,1.0,1.0,1.0,1.0,1.0,0
304,1.0,1.0,1.0,1.0,1.0,0
305,1.0,1.0,1.0,1.0,1.0,0
306,1.0,1.0,1.0,1.0,1.0,0.0
307,1.0,1.0,1.0,1.0,1.0,0.0
308,1.0,1.0,1.0,1.0,1.0,0
309,1.0,1.0,1.0,1.0,1.0,0
310,1.0,1.0,1.0,1.0,1.0,0.0
311,1.0,1.0,1.0,1.0,1.0,0
312,1.0,1.0,1.0,1.0,1.0,0.0
313,1.0,1.0,1.0,1.0,1.0,0.0
314,1.0,1.0,1.0,1.0,1.0,0
315,1.0,1.0,1.0,1.0,1.0,0
316,1.0,1.0,1.0,1.0,1.0,0
317,1.0,1.0,1.0,1.0,1.0,0
318,1.0,1.0,1.0,1.0,1.0,0
319,1.0,1.0,1.0,1.0,1.0,0
320,1.0,1.0,1.0,1.0,1.0,0
321,1.0,1.0,1.0,1.0,1.0,0.0
322,1.0,1.0,1.0,1.0,1.0,0
323,1.0,1.0,1.0,1.0,1.0,0
324,1.0,1.0,1.0,1.0,1.0,0
325,1.0,1.0,1.0,1.0,1.0,0
326,1.0,1.0,1.0,1.0,1.0,0
327,1.0,1.0,1.0,1.0,1.0,0
328,1.0,1.0,1.0,1.0,1.0,0
329,1.0,1.0,1.0,1.0,1.0,0
330,1.0,1.0,1.0,1.0,1.0,0.0
331,1.0,1.0,1.0,1.0,1.0,0
332,1.0,1.0,1.0,1.0,1.0,0
333,1.0,1.0,1.0,1.0,1.0,0
334,1.0,1.0,1.0,1.0,1.0,0
335,1.0,1.0,1.0,1.0,1.0,0
336,1.0,1.0,1.0,1.0,1.0,0
337,1.0,1.0,1.0,1.0,1.0,0
338,1.0,1.0,1.0,1.0,1.0,0.0
339,1.0,1.0,1.0,1.0,1.0,0
340,1.0,1.0,1.0,1.0,1.0,0.0
341,1.0,1.0,1.0,1.0,1.0,0
342,1.0,1.0,1.0,1.0,1.0,0
343,1.0,1.0,1.0,1.0,1.0,0
344,1.0,1.0,1.0,1.0,1.0,0
345,1.0,1.0,1.0,1.0,1.0,0.0
346,1.0,1.0,1.0,1.0,1.0,0.0
347,1.0,1.0,1.0,1.0,1.0,0
348,1.0,1.0,1.0,1.0,1.0,0
349,1.0,1.0,1.0,1.0,1.0,0
350,1.0,1.0,1.0,1.0,1.0,0.0
351,1.0,1.0,1.0,1.0,1.0,0
352,1.0,1.0,1.0,1.0,1.0,0
353,1.0,1.0,1.0,1.0,1.0,0
354,1.0,1.0,1.0,1.0,1.0,0
355,1.0,1.0,1.0,1.0,1.0,0
356,1.0,1.0,1.0,1.0,1.0,0
357,1.0,1.0,1.0,1.0,1.0,0.0
358,1.0,1.0,1.0,1.0,1.0,0.0
359,1.0,1.0,1.0,1.0,1.0,0.0
360,1.0,1.0,1.0,1.0,1.0,0
361,1.0,1.0,1.0,1.0,1.0,0
362,1.0,1.0,1.0,1.0,1.0,0.0
363,1.0,1.0,1.0,1.0,1.0,0
364,1.0,1.0,1.0,1.0,1.0,0
365,1.0,1.0,1.0,1.0,1.0,0
366,1.0,1.0,1.0,1.0,1.0,0.0
367,1.0,1.0,1.0,1.0,1.0,0
368,1.0,1.0,1.0,1.0,1.0,0.0
369,1.0,1.0,1.0,1.0,1.0,0
370,1.0,1.0,1.0,1.0,1.0,0
371,1.0,1.0,1.0,1.0,1.0,0
372,1.0,1.0,1.0,1.0,1.0,0
373,1.0,1.0,1.0,1.0,1.0,0
374,1.0,1.0,1.0,1.0,1.0,0.0
375,1.0,1.0,1.0,1.0,1.0,0
376,1.0,1.0,1.0,1.0,1.0,0.0
377,1.0,1.0,1.0,1.0,1.0,0
378,1.0,1.0,1.0,1.0,1.0,0.0
379,1.0,1.0,1.0,1.0,1.0,0
380,1.0,1.0,1.0,1.0,1.0,0.0
381,1.0,1.0,1.0,1.0,1.0,0.0
382,1.0,1.0,1.0,1.0,1.0,0
383,1.0,1.0,1.0,1.0,1.0,0
384,1.0,1.0,1.0,1.0,1.0,0.0
385,1.0,1.0,1.0,1.0,1.0,0
386,1.0,1.0,1.0,1.0,1.0,0.0
387,1.0,1.0,1.0,1.0,1.0,0
388,1.0,1.0,1.0,1.0,1.0,0
389,1.0,1.0,1.0,1.0,1.0,0
390,1.0,1.0,1.0,1.0,1.0,0
391,1.0,1.0,1.0,1.0,1.0,0
392,1.0,1.0,1.0,1.0,1.0,0
393,1.0,1.0,1.0,1.0,1.0,0
394,1.0,1.0,1.0,1.0,1.0,0
395,1.0,1.0,1.0,1.0,1.0,0
396,1.0,1.0,1.0,1.0,1.0,0
397,1.0,1.0,1.0,1.0,1.0,0
398,1.0,1.0,1.0,1.0,1.0,0
399,1.0,1.0,1.0,1.0,1.0,0
400,1.0,1.0,1.0,1.0,1.0,0
401,1.0,1.0,1.0,1.0,1.0,0
402,1.0,1.0,1.0,1.0,1.0,0.0
403,1.0,1.0,1.0,1.0,1.0,0.0
404,1.0,1.0,1.0,1.0,1.0,0
405,1.0,1.0,1.0,1.0,1.0,0.0
406,1.0,1.0,1.0,1.0,1.0,0.0
407,1.0,1.0,1.0,1.0,1.0,0
408,1.0,1.0,1.0,1.0,1.0,0
409,1.0,1.0,1.0,1.0,1.0,0.0
410,1.0,1.0,1.0,1.0,1.0,0
411,1.0,1.0,1.0,1.0,1.0,0
412,1.0,1.0,1.0,1.0,1.0,0
413,1.0,1.0,1.0,1.0,1.0,0.0
414,1.0,1.0,1.0,1.0,1.0,0
415,1.0,1.0,1.0,1.0,1.0,0.0
416,1.0,1.0,1.0,1.0,1.0,0
417,1.0,1.0,1.0,1.0,1.0,0.0
418,1.0,1.0,1.0,1.0,1.0,0
419,1.0,1.0,1.0,1.0,1.0,0
420,1.0,1.0,1.0,1.0,1.0,0.0
421,1.0,1.0,1.0,1.0,1.0,0.0
422,1.0,1.0,1.0,1.0,1.0,0.0
423,1.0,1.0,1.0,1.0,1.0,0.0
424,1.0,1.0,1.0,1.0,1.0,0
425,1.0,1.0,1.0,1.0,1.0,0
426,1.0,1.0,1.0,1.0,1.0,0
427,1.0,1.0,1.0,1.0,1.0,0
428,1.0,1.0,1.0,1.0,1.0,0.0
429,1.0,1.0,1.0,1.0,1.0,0
430,1.0,1.0,1.0,1.0,1.0,0
431,1.0,1.0,1.0,1.0,1.0,0
432,1.0,1.0,1.0,1.0,1.0,0
433,1.0,1.0,1.0,1.0,1.0,0.0
434,1.0,1.0,1.0,1.0,1.0,0
435,1.0,1.0,1.0,1.0,1.0,0.0
436,1.0,1.0,1.0,1.0,1.0,0
437,1.0,1.0,1.0,1.0,1.0,0
438,1.0,1.0,1.0,1.0,1.0,0
439,1.0,1.0,1.0,1.0,1.0,0
440,1.0,1.0,1.0,1.0,1.0,0
441,1.0,1.0,1.0,1.0,1.0,0
442,1.0,1.0,1.0,1.0,1.0,0
443,1.0,1.0,1.0,1.0,1.0,0
444,1.0,1.0,1.0,1.0,1.0,0
445,1.0,1.0,1.0,1.0,1.0,0
446,1.0,1.0,1.0,1.0,1.0,0.0
447,1.0,1.0,1.0,1.0,1.0,0
448,1.0,1.0,1.0,1.0,1.0,0.0
449,1.0,1.0,1.0,1.0,1.0,0.0
450,1.0,1.0,1.0,1.0,1.0,0
451,1.0,1.0,1.0,1.0,1.0,0
452,1.0,1.0,1.0,1.0,1.0,0
453,1.0,1.0,1.0,1.0,1.0,0
454,1.0,1.0,1.0,1.0,1.0,0.0
455,1.0,1.0,1.0,1.0,1.0,0.0
456,1.0,1.0,1.0,1.0,1.0,0.0
457,1.0,1.0,1.0,1.0,1.0,0.0
458,1.0,1.0,1.0,1.0,1.0,0
459,1.0,1.0,1.0,1.0,1.0,0.0
460,1.0,1.0,1.0,1.0,1.0,0
461,1.0,1.0,1.0,1.0,1.0,0
462,1.0,1.0,1.0,1.0,1.0,0
463,1.0,1.0,1.0,1.0,1.0,0
464,1.0,1.0,1.0,1.0,1.0,0
465,1.0,1.0,1.0,1.0,1.0,0
466,1.0,1.0,1.0,1.0,1.0,0.0
467,1.0,1.0,1.0,1.0,1.0,0.0
468,1.0,1.0,1.0,1.0,1.0,0
469,1.0,1.0,1.0,1.0,1.0,0
470,1.0,1.0,1.0,1.0,1.0,0.0
471,1.0,1.0,1.0,1.0,1.0,0.0
472,1.0,1.0,1.0,1.0,1.0,0
473,1.0,1.0,1.0,1.0,1.0,0.0
474,1.0,1.0,1.0,1.0,1.0,0
475,1.0,1.0,1.0,1.0,1.0,0
476,1.0,1.0,1.0,1.0,1.0,0
477,1.0,1.0,1.0,1.0,1.0,0.0
478,1.0,1.0,1.0,1.0,1.0,0
479,1.0,1.0,1.0,1.0,1.0,0.0
480,1.0,1.0,1.0,1.0,1.0,0.0
481,1.0,1.0,1.0,1.0,1.0,0
482,1.0,1.0,1.0,1.0,1.0,0
483,1.0,1.0,1.0,1.0,1.0,0
484,1.0,1.0,1.0,1.0,1.0,0.0
485,1.0,1.0,1.0,1.0,1.0,0
486,1.0,1.0,1.0,1.0,1.0,0.0
487,1.0,1.0,1.0,1.0,1.0,0
488,1.0,1.0,1.0,1.0,1.0,0
489,1.0,1.0,1.0,1.0,1.0,0
490,1.0,1.0,1.0,1.0,1.0,0
491,1.0,1.0,1.0,1.0,1.0,0
492,1.0,1.0,1.0,1.0,1.0,0
493,1.0,1.0,1.0,1.0,1.0,0.0
494,1.0,1.0,1.0,1.0,1.0,0.0
495,1.0,1.0,1.0,1.0,1.0,0
496,1.0,1.0,1.0,1.0,1.0,0
497,1.0,1.0,1.0,1.0,1.0,0.0
498,1.0,1.0,1.0,1.0,1.0,0
499,1.0,1.0,1.0,1.0,1.0,0
500,1.0,1.0,1.0,1.0,1.0,0.0
501,1.0,1.0,1.0,1.0,1.0,0.0
502,1.0,1.0,1.0,1.0,1.0,0
503,1.0,1.0,1.0,1.0,1.0,0
504,1.0,1.0,1.0,1.0,1.0,0
505,1.0,1.0,1.0,1.0,1.0,0
506,1.0,1.0,1.0,1.0,1.0,0.0
507,1.0,1.0,1.0,1.0,1.0,0
508,1.0,1.0,1.0,1.0,1.0,0.0
509,1.0,1.0,1.0,1.0,1.0,0.0
510,1.0,1.0,1.0,1.0,1.0,0
511,1.0,1.0,1.0,1.0,1.0,0.0
512,1.0,1.0,1.0,1.0,1.0,0.0
513,1.0,1.0,1.0,1.0,1.0,0
514,1.0,1.0,1.0,1.0,1.0,0.0
515,1.0,1.0,1.0,1.0,1.0,0.0
516,1.0,1.0,1.0,1.0,1.0,0.0
517,1.0,1.0,1.0,1.0,1.0,0.0
518,1.0,1.0,1.0,1.0,1.0,0
519,1.0,1.0,1.0,1.0,1.0,0.0
520,1.0,1.0,1.0,1.0,1.0,0
521,1.0,1.0,1.0,1.0,1.0,0
522,1.0,1.0,1.0,1.0,1.0,0
523,1.0,1.0,1.0,1.0,1.0,0
524,1.0,1.0,1.0,1.0,1.0,0.0
525,1.0,1.0,1.0,1.0,1.0,0
526,1.0,1.0,1.0,1.0,1.0,0.0
527,1.0,1.0,1.0,1.0,1.0,0
528,1.0,1.0,1.0,1.0,1.0,0
529,1.0,1.0,1.0,1.0,1.0,0.0
530,1.0,1.0,1.0,1.0,1.0,0
531,1.0,1.0,1.0,1.0,1.0,0
532,1.0,1.0,1.0,1.0,1.0,0
533,1.0,1.0,1.0,1.0,1.0,0.0
534,1.0,1.0,1.0,1.0,1.0,0
535,1.0,1.0,1.0,1.0,1.0,0.0
536,1.0,1.0,1.0,1.0,1.0,0
537,1.0,1.0,1.0,1.0,1.0,0
538,1.0,1.0,1.0,1.0,1.0,0.0
539,1.0,1.0,1.0,1.0,1.0,0
540,1.0,1.0,1.0,1.0,1.0,0.0
541,1.0,1.0,1.0,1.0,1.0,0.0
542,1.0,1.0,1.0,1.0,1.0,0
543,1.0,1.0,1.0,1.0,1.0,0
544,1.0,1.0,1.0,1.0,1.0,0
545,1.0,1.0,1.0,1.0,1.0,0.0
546,1.0,1.0,1.0,1.0,1.0,0.0
547,1.0,1.0,1.0,1.0,1.0,0
548,1.0,1.0,1.0,1.0,1.0,0
549,1.0,1.0,1.0,1.0,1.0,0
550,1.0,1.0,1.0,1.0,1.0,0.0
551,1.0,1.0,1.0,1.0,1.0,0.0
552,1.0,1.0,1.0,1.0,1.0,0
553,1.0,1.0,1.0,1.0,1.0,0
554,1.0,1.0,1.0,1.0,1.0,0
555,1.0,1.0,1.0,1.0,1.0,0.0
556,1.0,1.0,1.0,1.0,1.0,0
557,1.0,1.0,1.0,1.0,1.0,0
558,1.0,1.0,1.0,1.0,1.0,0
559,1.0,1.0,1.0,1.0,1.0,0
560,1.0,1.0,1.0,1.0,1.0,0
561,1.0,1.0,1.0,1.0,1.0,0.0
562,1.0,1.0,1.0,1.0,1.0,0
563,1.0,1.0,1.0,1.0,1.0,0
564,1.0,1.0,1.0,1.0,1.0,0
